ID_Laureate;AwardeeDisplayName;Prize0_Category;Prize0_AwardYear;ID_External;YearOfPublication;Source;Timegap
436;Susumu Tonegawa;Medicine;1987;30068;1976;Harvard Dataverse;11
459;Louis J. Ignarro;Medicine;1998;30046;1987;Harvard Dataverse;11
998;Ardem Patapoutian;Medicine;2021;;2010;ChatGPT 4c (September 2024);11
9;Philipp Lenard;Physics;1905;10192;1894;Harvard Dataverse;11
22;Charles Glover Barkla;Physics;1917;10184;1906;Harvard Dataverse;11
90;Murray Gell-Mann;Physics;1969;10115;1958;Harvard Dataverse;11
99;Brian D. Josephson;Physics;1973;10108;1962;Harvard Dataverse;11
114;Abdus Salam;Physics;1979;10090;1968;Harvard Dataverse;11
121;Kenneth G. Wilson;Physics;1982;10084;1971;Harvard Dataverse;11
152;Steven Chu;Physics;1997;10053;1986;Harvard Dataverse;11
221;Lord Todd;Chemistry;1957;20115;1945;Harvard Dataverse;12
311;Archibald V. Hill;Medicine;1922;30186;1910;Harvard Dataverse;12
331;Otto Loewi;Medicine;1936;30172;1924;Harvard Dataverse;12
348;Egas Moniz;Medicine;1949;30155;1937;Harvard Dataverse;12
353;Selman A. Waksman;Medicine;1952;30149;1940;Harvard Dataverse;12
366;Joshua Lederberg;Medicine;1958;30137;1946;Harvard Dataverse;12
396;Julius Axelrod;Medicine;1970;30108;1958;Harvard Dataverse;12
458;Robert F. Furchgott;Medicine;1998;30045;1986;Harvard Dataverse;12
1011;Svante PÃ¤Ã¤bo;Medicine;2022;;2010;ChatGPT 4c (September 2024);12
54;Hideki Yukawa;Physics;1949;10152;1937;Harvard Dataverse;12
75;Robert Hofstadter;Physics;1961;10130;1949;Harvard Dataverse;12
98;Ivar Giaever;Physics;1973;10107;1961;Harvard Dataverse;12
115;Steven Weinberg;Physics;1979;10091;1967;Harvard Dataverse;12
203;Artturi Virtanen;Chemistry;1945;20133;1932;Harvard Dataverse;13
233;Manfred Eigen;Chemistry;1967;20103;1954;Harvard Dataverse;13
237;Derek Barton;Chemistry;1969;20098;1956;Harvard Dataverse;13
247;John Cornforth;Chemistry;1975;20089;1962;Harvard Dataverse;13
756;John B. Fenn;Chemistry;2002;20037;1989;Harvard Dataverse;13
795;Robert H. Grubbs;Chemistry;2005;20028;1992;Harvard Dataverse;13
347;Walter Hess;Medicine;1949;30154;1936;Harvard Dataverse;13
394;Sir Bernard Katz;Medicine;1970;30109;1957;Harvard Dataverse;13
398;Gerald M. Edelman;Medicine;1972;30104;1959;Harvard Dataverse;13
399;Rodney R. Porter;Medicine;1972;30105;1959;Harvard Dataverse;13
440;J. Michael Bishop;Medicine;1989;30064;1976;Harvard Dataverse;13
441;Harold E. Varmus;Medicine;1989;30063;1976;Harvard Dataverse;13
774;Richard Axel;Medicine;2004;30031;1991;Harvard Dataverse;13
775;Linda B. Buck;Medicine;2004;30030;1991;Harvard Dataverse;13
861;Bruce A. Beutler;Medicine;2011;30015;1998;Harvard Dataverse;13
28;Robert A. Millikan;Physics;1923;10178;1910;Harvard Dataverse;13
111;Arno Penzias;Physics;1978;10095;1965;Harvard Dataverse;13
112;Robert Woodrow Wilson;Physics;1978;10094;1965;Harvard Dataverse;13
864;Saul Perlmutter;Physics;2011;10013;1998;Harvard Dataverse;13
866;Adam G. Riess;Physics;2011;10015;1998;Harvard Dataverse;13
865;Brian P. Schmidt;Physics;2011;10014;1998;Harvard Dataverse;13
920;Arthur B. McDonald;Physics;2015;10005;2002;Harvard Dataverse;13
191;Irving Langmuir;Chemistry;1932;20145;1918;Harvard Dataverse;14
242;Stanford Moore;Chemistry;1972;20095;1958;Harvard Dataverse;14
243;William H. Stein;Chemistry;1972;20094;1958;Harvard Dataverse;14
259;Aaron Klug;Chemistry;1982;20077;1968;Harvard Dataverse;14
265;Yuan T. Lee;Chemistry;1986;20072;1972;Harvard Dataverse;14
757;Koichi Tanaka;Chemistry;2002;20036;1988;Harvard Dataverse;14
830;Martin Chalfie;Chemistry;2008;20022;1994;Harvard Dataverse;14
911;William E. Moerner;Chemistry;2014;20007;2000;Harvard Dataverse;14
326;George H. Whipple;Medicine;1934;30175;1920;Harvard Dataverse;14
349;Edward C. Kendall;Medicine;1950;30151;1936;Harvard Dataverse;14
352;Max Theiler;Medicine;1951;30150;1937;Harvard Dataverse;14
371;Georg von BÃ©kÃ©sy;Medicine;1961;30132;1947;Harvard Dataverse;14
395;Ulf von Euler;Medicine;1970;30107;1956;Harvard Dataverse;14
450;Alfred G. Gilman;Medicine;1994;30054;1980;Harvard Dataverse;14
737;Sir Paul Nurse;Medicine;2001;30037;1987;Harvard Dataverse;14
79;Maria Goeppert Mayer;Physics;1963;10125;1949;Harvard Dataverse;14
80;J. Hans D. Jensen;Physics;1963;10126;1949;Harvard Dataverse;14
805;George F. Smoot;Physics;2006;10027;1992;Harvard Dataverse;14
239;Luis Leloir;Chemistry;1970;20097;1955;Harvard Dataverse;15
240;Gerhard Herzberg;Chemistry;1971;20096;1956;Harvard Dataverse;15
248;Vladimir Prelog;Chemistry;1975;20088;1960;Harvard Dataverse;15
249;William Lipscomb;Chemistry;1976;20087;1961;Harvard Dataverse;15
276;Richard R. Ernst;Chemistry;1991;20060;1976;Harvard Dataverse;15
796;Richard R. Schrock;Chemistry;2005;20029;1990;Harvard Dataverse;15
337;Joseph Erlanger;Medicine;1944;30164;1929;Harvard Dataverse;15
338;Herbert S. Gasser;Medicine;1944;30165;1929;Harvard Dataverse;15
381;AndrÃ© Lwoff;Medicine;1965;30122;1950;Harvard Dataverse;15
386;Keffer Hartline;Medicine;1967;30117;1952;Harvard Dataverse;15
453;Christiane NÃ¼sslein-Volhard;Medicine;1995;30050;1980;Harvard Dataverse;15
454;Eric F. Wieschaus;Medicine;1995;30051;1980;Harvard Dataverse;15
457;Stanley B. Prusiner;Medicine;1997;30047;1982;Harvard Dataverse;15
862;Jules A. Hoffmann;Medicine;2011;30014;1996;Harvard Dataverse;15
10066;John Bardeen;Physics;1972;10111;1957;Harvard Dataverse;15
95;Leon N. Cooper;Physics;1972;10110;1957;Harvard Dataverse;15
96;Robert Schrieffer;Physics;1972;10109;1957;Harvard Dataverse;15
97;Leo Esaki;Physics;1973;10106;1958;Harvard Dataverse;15
155;Robert B. Laughlin;Physics;1998;10050;1983;Harvard Dataverse;15
755;Riccardo Giacconi;Physics;2002;10037;1987;Harvard Dataverse;15
200;Leopold Ruzicka;Chemistry;1939;20136;1923;Harvard Dataverse;16
209;William F. Giauque;Chemistry;1949;20127;1933;Harvard Dataverse;16
279;Michael Smith;Chemistry;1993;20057;1977;Harvard Dataverse;16
339;Sir Alexander Fleming;Medicine;1945;30162;1929;Harvard Dataverse;16
350;Tadeus Reichstein;Medicine;1950;30152;1934;Harvard Dataverse;16
354;Hans Krebs;Medicine;1953;30148;1937;Harvard Dataverse;16
414;Werner Arber;Medicine;1978;30089;1962;Harvard Dataverse;16
417;Allan M. Cormack;Medicine;1979;30087;1963;Harvard Dataverse;16
423;David H. Hubel;Medicine;1981;30080;1965;Harvard Dataverse;16
424;Torsten N. Wiesel;Medicine;1981;30082;1965;Harvard Dataverse;16
448;Richard J. Roberts;Medicine;1993;30056;1977;Harvard Dataverse;16
449;Phillip A. Sharp;Medicine;1993;30055;1977;Harvard Dataverse;16
751;H. Robert Horvitz;Medicine;2002;30034;1986;Harvard Dataverse;16
26;Albert Einstein;Physics;1921;10180;1905;Harvard Dataverse;16
34;C.T.R. Wilson;Physics;1927;10173;1911;Harvard Dataverse;16
53;Patrick M.S. Blackett;Physics;1948;10153;1932;Harvard Dataverse;16
86;Richard P. Feynman;Physics;1965;10119;1949;Harvard Dataverse;16
87;Alfred Kastler;Physics;1966;10118;1950;Harvard Dataverse;16
116;James Cronin;Physics;1980;10088;1964;Harvard Dataverse;16
117;Val Fitch;Physics;1980;10089;1964;Harvard Dataverse;16
156;Horst L. StÃ¶rmer;Physics;1998;10048;1982;Harvard Dataverse;16
157;Daniel C. Tsui;Physics;1998;10049;1982;Harvard Dataverse;16
804;John C. Mather;Physics;2006;10026;1990;Harvard Dataverse;16
876;Serge Haroche;Physics;2012;10011;1996;Harvard Dataverse;16
205;John H. Northrop;Chemistry;1946;20131;1929;Harvard Dataverse;17
251;Peter Mitchell;Chemistry;1978;20085;1961;Harvard Dataverse;17
264;Dudley R. Herschbach;Chemistry;1986;20071;1969;Harvard Dataverse;17
266;John C. Polanyi;Chemistry;1986;20070;1969;Harvard Dataverse;17
758;Kurt WÃ¼thrich;Chemistry;2002;20035;1985;Harvard Dataverse;17
933;Bernard L. Feringa;Chemistry;2016;20002;1999;Harvard Dataverse;17
1015;Carolyn Bertozzi;Chemistry;2022;;2005;ChatGPT 4c (September 2024);17
320;Sir Frederick Hopkins;Medicine;1929;30180;1912;Harvard Dataverse;17
325;Thomas H. Morgan;Medicine;1933;30177;1916;Harvard Dataverse;17
364;George Beadle;Medicine;1958;30138;1941;Harvard Dataverse;17
365;Edward Tatum;Medicine;1958;30139;1941;Harvard Dataverse;17
392;Alfred D. Hershey;Medicine;1969;30111;1952;Harvard Dataverse;17
413;Rosalyn Yalow;Medicine;1977;30093;1960;Harvard Dataverse;17
452;Edward B. Lewis;Medicine;1995;30052;1978;Harvard Dataverse;17
23;Max Planck;Physics;1918;10183;1901;Harvard Dataverse;17
85;Julian Schwinger;Physics;1965;10120;1948;Harvard Dataverse;17
84;Sin-Itiro Tomonaga;Physics;1965;10121;1948;Harvard Dataverse;17
141;Pierre-Gilles de Gennes;Physics;1991;10064;1974;Harvard Dataverse;17
877;David J. Wineland;Physics;2012;10012;1995;Harvard Dataverse;17
919;Takaaki Kajita;Physics;2015;10004;1998;Harvard Dataverse;17
181;Fritz Pregl;Chemistry;1923;20155;1905;Harvard Dataverse;18
190;Friedrich Bergius;Chemistry;1931;20146;1913;Harvard Dataverse;18
189;Carl Bosch;Chemistry;1931;20147;1913;Harvard Dataverse;18
234;Ronald G.W. Norrish;Chemistry;1967;20101;1949;Harvard Dataverse;18
235;George Porter;Chemistry;1967;20102;1949;Harvard Dataverse;18
258;Roald Hoffmann;Chemistry;1981;20079;1963;Harvard Dataverse;18
268;Jean-Marie Lehn;Chemistry;1987;20068;1969;Harvard Dataverse;18
342;Hermann J. Muller;Medicine;1946;30160;1928;Harvard Dataverse;18
343;Carl Cori;Medicine;1947;30159;1929;Harvard Dataverse;18
344;Gerty Cori;Medicine;1947;30157;1929;Harvard Dataverse;18
422;Roger W. Sperry;Medicine;1981;30081;1963;Harvard Dataverse;18
736;Tim Hunt;Medicine;2001;30038;1983;Harvard Dataverse;18
971;Sir Peter J. Ratcliffe;Medicine;2019;;2001;ChatGPT 4c (September 2024);18
1024;Katalin KarikÃ³;Medicine;2023;;2005;ChatGPT 4c (September 2024);18
1025;Drew Weissman;Medicine;2023;;2005;ChatGPT 4c (September 2024);18
32;Jean Baptiste Perrin;Physics;1926;10174;1908;Harvard Dataverse;18
113;Sheldon Glashow;Physics;1979;10092;1961;Harvard Dataverse;18
143;Russell A. Hulse;Physics;1993;10061;1975;Harvard Dataverse;18
144;Joseph H. Taylor Jr.;Physics;1993;10062;1975;Harvard Dataverse;18
727;Herbert Kroemer;Physics;2000;10043;1982;Harvard Dataverse;18
318;Charles Nicolle;Medicine;1928;30181;1909;Harvard Dataverse;19
404;Christian de Duve;Medicine;1974;30099;1955;Harvard Dataverse;19
405;George E. Palade;Medicine;1974;30100;1955;Harvard Dataverse;19
419;Baruj Benacerraf;Medicine;1980;30085;1961;Harvard Dataverse;19
56;John Cockcroft;Physics;1951;10150;1932;Harvard Dataverse;19
57;Ernest T.S. Walton;Physics;1951;10149;1932;Harvard Dataverse;19
60;Frits Zernike;Physics;1953;10146;1934;Harvard Dataverse;19
107;Philip W. Anderson;Physics;1977;10097;1958;Harvard Dataverse;19
118;Nicolaas Bloembergen;Physics;1981;10087;1962;Harvard Dataverse;19
814;Albert Fert;Physics;2007;10024;1988;Harvard Dataverse;19
201;George de Hevesy;Chemistry;1943;20135;1923;Harvard Dataverse;20
204;James B. Sumner;Chemistry;1946;20132;1926;Harvard Dataverse;20
269;Charles J. Pedersen;Chemistry;1987;20069;1967;Harvard Dataverse;20
910;Stefan W. Hell;Chemistry;2014;20009;1994;Harvard Dataverse;20
1016;Morten Meldal;Chemistry;2022;;2002;ChatGPT 4c (September 2024);20
359;Hugo Theorell;Medicine;1955;30143;1935;Harvard Dataverse;20
363;Daniel Bovet;Medicine;1957;30140;1937;Harvard Dataverse;20
811;Mario R. Capecchi;Medicine;2007;30024;1987;Harvard Dataverse;20
884;James E. Rothman;Medicine;2013;30010;1993;Harvard Dataverse;20
11;Albert A. Michelson;Physics;1907;10190;1887;Harvard Dataverse;20
50;Wolfgang Pauli;Physics;1945;10156;1925;Harvard Dataverse;20
768;Anthony J. Leggett;Physics;2003;10035;1983;Harvard Dataverse;20
908;Shuji Nakamura;Physics;2014;10008;1994;Harvard Dataverse;20
